lote,tiempo_inicio_lote,tiempo_ciclo,tiempo_averia,envase,parison_cm,rebaba_gr,defectos,no_detectados,volumen,espesor
1,0,0.154791432,0,1,26.97482666,4.513154698,2,0,860.6143879,0.5596512952
1,0,0.154791432,0,2,26.50489182,1.958506281,3,0,912.1917999,0.7871639217
1,0,0.154791432,0,3,27.244107,5.605935543,0,0,1001.413751,0.6656121894
1,0,0.154791432,0,4,26.4169604,2.735597179,2,1,943.1163545,0.5303004288
1,0,0.154791432,0,5,26.24510374,1.619634892,2,0,918.4554593,0.7187380394
1,0,0.154791432,0,6,26.40161131,1.832293001,2,0,862.8400976,0.5946359144
2,0.154791432,0.1717588703,0,1,26.59910076,2.542487035,2,0,1083.834396,0.7693468651
2,0.154791432,0.1717588703,0,2,26.57242893,4.002425559,2,0,1018.863987,0.5190583118
2,0.154791432,0.1717588703,0,3,26.16732826,1.457132513,2,0,956.730076,0.6922885396
2,0.154791432,0.1717588703,0,4,26.95842424,4.583612256,2,0,1198.207428,0.5895334374
2,0.154791432,0.1717588703,0,5,27.31808282,6.292005933,3,0,857.790697,0.7787295849
2,0.154791432,0.1717588703,0,6,26.1925872,1.626867874,2,1,1154.240866,0.7297503288
3,0.3265503023,0.1850269219,0,1,26.18150629,1.086785293,1,0,1025.240034,0.6552727523
3,0.3265503023,0.1850269219,0,2,26.10628602,0.8492509546,2,0,1212.168005,0.7578906201
3,0.3265503023,0.1850269219,0,3,26.14539622,1.372686243,2,0,1172.998799,0.5571229743
3,0.3265503023,0.1850269219,0,4,26.3729845,1.690217145,2,0,985.7210422,0.7585017609
3,0.3265503023,0.1850269219,0,5,27.4989237,6.935783969,2,0,1070.130125,0.5151764989
3,0.3265503023,0.1850269219,0,6,27.47796327,5.72052873,1,0,873.45416,0.6136919357
4,0.5115772242,0.1745889508,0,1,26.08574791,1.469473744,2,0,1066.878081,0.7243926681
4,0.5115772242,0.1745889508,0,2,26.17982992,2.412078375,2,0,1120.085021,0.5705611685
4,0.5115772242,0.1745889508,0,3,26.35802893,2.048851954,2,0,931.7036798,0.7148575402
4,0.5115772242,0.1745889508,0,4,26.31973147,1.65319296,2,0,1248.438579,0.5219782163
4,0.5115772242,0.1745889508,0,5,26.98096448,3.460471963,2,0,1094.671106,0.7961699191
4,0.5115772242,0.1745889508,0,6,26.90724474,4.62117057,2,0,1071.289456,0.5817044637
5,0.686166175,0.1593920621,0,1,27.11184636,5.00780088,3,0,1104.845351,0.5785865787
5,0.686166175,0.1593920621,0,2,26.19116828,1.287837044,3,0,1083.003827,0.5444281357
5,0.686166175,0.1593920621,0,3,26.60956608,3.381919336,2,0,1162.046497,0.7652404104
5,0.686166175,0.1593920621,0,4,27.39622383,6.507550779,2,1,1144.625789,0.5996556404
5,0.686166175,0.1593920621,0,5,26.69045485,3.035032891,2,0,938.973487,0.7449759817
5,0.686166175,0.1593920621,0,6,26.59951758,4.067608622,1,0,961.6499971,0.6924445216
6,0.8455582371,0.1654260659,0,1,26.57779315,3.182196269,1,0,1092.483541,0.6534269179
6,0.8455582371,0.1654260659,0,2,26.10496072,1.697063008,2,0,1118.251402,0.6092664415
6,0.8455582371,0.1654260659,0,3,26.1909317,1.511382219,2,0,1010.960155,0.5886965608
6,0.8455582371,0.1654260659,0,4,26.86997717,4.364485956,1,1,964.7654867,0.628966445
6,0.8455582371,0.1654260659,0,5,26.94941128,4.004397787,1,0,883.9182147,0.654635603
6,0.8455582371,0.1654260659,0,6,26.10924234,1.212505331,2,0,1040.054538,0.7549213084
7,1.010984303,0.1766320588,0,1,26.77693663,2.828783573,3,0,920.3546727,0.7873898127
7,1.010984303,0.1766320588,0,2,26.91897848,4.66569918,2,0,1230.015843,0.7674277777
7,1.010984303,0.1766320588,0,3,27.14872053,5.076529642,1,0,948.895895,0.691298431
7,1.010984303,0.1766320588,0,4,27.04092472,5.06822475,2,0,905.3496246,0.5693784439
7,1.010984303,0.1766320588,0,5,27.28509805,6.044032331,2,0,1083.631766,0.7086568959
7,1.010984303,0.1766320588,0,6,26.90487888,3.61871547,2,0,1149.006268,0.6638396929
8,1.187616362,0.1424611653,0,1,26.04065307,1.428259553,0,1,1007.608103,0.6693175949
8,1.187616362,0.1424611653,0,2,27.24788643,4.886711226,1,0,1001.650486,0.7256029471
8,1.187616362,0.1424611653,0,3,27.4244176,5.400809146,3,0,1110.701862,0.7262699612
8,1.187616362,0.1424611653,0,4,26.91087124,4.69453258,3,0,1156.759239,0.550336743
8,1.187616362,0.1424611653,0,5,27.07252206,3.918338922,1,0,1233.269135,0.6189963325
8,1.187616362,0.1424611653,0,6,26.52080565,2.685654778,2,0,1243.537741,0.7347906039
9,1.330077527,0.1675807927,0,1,26.40512359,3.03905973,2,0,1143.518122,0.7896421194
9,1.330077527,0.1675807927,0,2,26.36579516,2.213969648,2,0,884.6651592,0.7644893552
9,1.330077527,0.1675807927,0,3,27.05177563,4.246028448,2,0,986.1355373,0.7640959939
9,1.330077527,0.1675807927,0,4,27.1893993,4.362887246,2,0,1108.36116,0.6472464005
9,1.330077527,0.1675807927,0,5,27.05428241,4.244127167,2,0,1148.374175,0.5992373892
9,1.330077527,0.1675807927,0,6,27.0868775,5.769971627,1,0,936.553856,0.6452595762
10,1.49765832,0.1431395673,0,1,27.3026918,5.556384043,3,0,1128.966957,0.5378838479
10,1.49765832,0.1431395673,0,2,26.60106116,2.258894159,2,0,1041.091675,0.7466346936
10,1.49765832,0.1431395673,0,3,27.18611124,4.616608239,1,0,1155.777378,0.6818952954
10,1.49765832,0.1431395673,0,4,27.4213853,5.407015154,2,0,1093.852365,0.7220267916
10,1.49765832,0.1431395673,0,5,26.34721435,2.63321467,3,0,1087.524478,0.5873777867
10,1.49765832,0.1431395673,0,6,26.81684357,4.163756352,1,0,1223.467383,0.6275416898
11,1.640797887,0.1513341916,0,1,26.74069283,2.761954171,1,0,1227.070496,0.6501416531
11,1.640797887,0.1513341916,0,2,27.49935863,6.609819273,2,0,1080.079644,0.7852358833
11,1.640797887,0.1513341916,0,3,26.7375887,2.772654607,1,0,1084.13185,0.6904354158
11,1.640797887,0.1513341916,0,4,26.82514491,3.807290327,2,0,1228.077416,0.7440698104
11,1.640797887,0.1513341916,0,5,26.28137381,1.711651331,1,0,1067.037438,0.6239742712
11,1.640797887,0.1513341916,0,6,27.45972022,6.343802363,2,0,1129.300012,0.536427825
12,1.792132079,0.1677312146,0,1,26.41013735,3.109715832,1,0,1136.64133,0.6526616045
12,1.792132079,0.1677312146,0,2,27.18500927,4.991249049,2,0,1195.610774,0.5828742208
12,1.792132079,0.1677312146,0,3,26.80787087,3.527225602,2,0,1045.856139,0.5445786255
12,1.792132079,0.1677312146,0,4,26.06547095,1.719322818,2,0,943.4249784,0.7326633425
12,1.792132079,0.1677312146,0,5,26.88527064,4.848180997,1,0,864.8078445,0.650687345
12,1.792132079,0.1677312146,0,6,27.45380545,5.782410736,1,0,911.7444875,0.6408471803
13,1.959863293,0.1969177908,0,1,27.38139365,6.845853612,1,1,877.3682989,0.6893483051
13,1.959863293,0.1969177908,0,2,27.1942152,4.780427944,2,0,1211.369625,0.5137972906
13,1.959863293,0.1969177908,0,3,26.36124469,3.094230984,1,1,1198.335839,0.6859131106
13,1.959863293,0.1969177908,0,4,26.66259468,3.017946596,3,0,1121.044354,0.5473926866
13,1.959863293,0.1969177908,0,5,26.85788404,4.162231448,2,0,1043.283224,0.5711617106
13,1.959863293,0.1969177908,0,6,26.90960974,4.187705871,2,0,1147.867536,0.5147132752
14,2.156781084,0.186196003,0,1,26.96951091,4.022470356,2,0,1101.299241,0.7710211112
14,2.156781084,0.186196003,0,2,27.45723437,6.179034279,1,0,902.8639191,0.6618223277
14,2.156781084,0.186196003,0,3,27.44433994,5.353562541,2,0,985.4861015,0.5345509122
14,2.156781084,0.186196003,0,4,26.80485846,3.735971198,2,0,1166.272787,0.5041755965
14,2.156781084,0.186196003,0,5,26.84211107,4.787729921,2,0,860.0098599,0.7652704536
14,2.156781084,0.186196003,0,6,26.73893693,2.789288317,2,0,1228.504613,0.5913093753
15,2.342977087,0.1675440717,0,1,27.42728229,5.077580204,1,1,1045.738815,0.6224347657
15,2.342977087,0.1675440717,0,2,26.59720946,2.476821038,1,0,1241.137012,0.6076021524
15,2.342977087,0.1675440717,0,3,26.18888583,1.792461076,2,1,1164.717836,0.5730706691
15,2.342977087,0.1675440717,0,4,27.28760919,4.811037444,2,0,1210.212414,0.5008506654
15,2.342977087,0.1675440717,0,5,26.2613693,1.022641366,2,0,945.1726424,0.5971314386
15,2.342977087,0.1675440717,0,6,26.06504756,1.794879688,2,0,1051.535476,0.7836246929
