lote_num,tiempo_inicio,tiempo_ciclo,tiempo_total_fab,defectos_espesor_irregular,defectos_burbujas,defectos_rebabas_mal_cortadas,defectos_deformaciones,defectos_rosca_no_funcional,defectos_roturas,defectos_volumen_incorrecto,defectos_espesor_incorrecto,defectos_totales_lote,fallos_acum_extrusora,fallos_acum_molde,fallos_acum_limpieza,fallos_acum_cuchilla,pct_petr,temp_fundido,uniformidad_calentamiento,tasa_enfriamiento,temp_ambiente
1,0.0,34.12044664078445,34.12044664078445,1,0,0,2,0,0,2,1,6,0,0,0,0,50,250,1.0112136895742456,0.9354058556520244,35.15689737088038
2,34.12044664078445,32.7743750957754,66.89482173655985,2,0,0,0,0,0,4,0,6,0,0,0,0,0,270,1.0217635866969883,1.0250109623180246,35.00745562682489
3,66.89482173655985,33.980933442580735,100.87575517914058,0,0,0,3,0,0,3,0,6,0,0,0,0,0,280,1.0937811289861914,0.9845580367831519,38.641852755724145
4,100.87575517914058,35.27135799961826,136.14711317875884,1,0,0,1,0,0,3,1,6,0,0,0,0,20,270,1.0087471750320902,0.9132744849294933,39.247473103269655
5,136.14711317875884,33.59518432531411,169.74229750407295,1,0,0,1,0,0,0,3,5,0,0,0,0,50,260,0.9015844307929183,0.9136922601035027,30.014669540108528
6,169.74229750407295,31.0,200.74229750407295,0,0,0,1,0,0,3,1,5,0,0,0,0,20,260,0.8954981531103302,1.0223824142620341,20.16341812875377
7,200.74229750407295,31.0,231.74229750407295,2,0,0,0,0,0,2,2,6,0,0,0,0,20,280,0.8886914447371963,1.1024013332508247,12.235220320026377
8,231.74229750407295,33.04767491720315,264.7899724212761,1,0,0,0,0,0,2,3,6,0,0,0,0,0,260,0.9856126601316112,0.9062577627330152,25.740516016402275
9,264.7899724212761,35.34587373962006,300.13584616089616,2,0,0,3,0,0,1,0,6,0,0,0,0,20,280,1.1278729888513015,0.8475868006488925,33.385835350393485
10,300.13584616089616,32.12572347201274,332.2615696329089,2,0,0,1,0,0,2,1,6,0,0,0,0,50,280,1.0479973310828337,1.057590969720871,33.55492375820467
11,332.2615696329089,31.134968599872764,363.39653823278167,0,0,0,0,0,0,5,1,6,0,0,0,0,0,260,0.8376529610083936,1.1332332889237042,32.73838114670897
12,363.39653823278167,32.223184675619166,395.61972290840083,1,0,0,1,0,0,3,1,6,0,0,0,0,20,280,0.9923770151303244,0.907496967967598,16.787540390144258
13,395.61972290840083,31.0,426.61972290840083,2,0,0,0,0,0,1,3,6,0,0,0,0,50,260,1.1002739588987631,1.145541480321401,20.517395199669956
14,426.61972290840083,33.2213054680779,459.84102837647873,0,0,0,1,2,0,1,2,6,0,0,0,0,20,260,0.8214235237466445,0.8745386752514288,23.514342487215103
15,459.84102837647873,31.0,490.84102837647873,4,0,0,0,0,0,2,0,6,0,0,0,0,20,280,0.9833981855620268,1.1760051100456592,33.884673596864616
16,490.84102837647873,31.000000000000057,521.8410283764788,0,0,0,1,0,0,5,0,6,0,0,0,0,0,250,1.1365017458650843,1.0950883023794793,14.688161428236391
17,521.8410283764788,33.03430788339199,554.8753362598708,2,0,0,1,0,0,3,0,6,0,0,0,0,50,250,0.8680191094280159,0.8550475092683893,19.981179064102278
18,554.8753362598708,31.38883716062162,586.2641734204924,0,0,0,0,1,0,2,3,6,0,0,0,0,50,260,0.9139483294285297,0.9930527392191779,22.46098001204109
19,586.2641734204924,31.49499399060562,617.759167411098,1,0,0,0,0,0,4,1,6,0,0,0,0,50,270,0.988052772687401,0.9603846155526174,17.581177363539563
20,617.759167411098,31.1590206702665,648.9181880813645,1,0,0,1,0,0,3,1,6,0,0,0,0,0,280,1.1089185928049634,0.9869215889520311,10.072268651051393
21,648.9181880813645,31.0,679.9181880813645,0,0,0,0,0,0,3,3,6,0,0,0,0,20,260,1.0994971159142204,1.1145663102127223,16.540496643178443
22,679.9181880813645,33.490286399142974,713.4084744805075,2,0,0,2,0,0,1,1,6,0,0,0,0,50,250,1.0095872551476932,0.8281409814446273,17.469690529267062
23,713.4084744805075,31.121667616207446,744.5301420967149,0,0,0,0,1,0,5,0,6,0,0,0,0,0,250,1.114008793147526,1.1009963260438476,30.08482268043535
24,744.5301420967149,31.015893455313062,775.546035552028,0,0,0,1,1,0,4,0,6,0,0,0,0,0,250,1.1473781266205632,1.0405381691620061,24.023002053388446
25,775.546035552028,31.262482917688203,806.8085184697162,1,0,0,1,0,0,2,2,6,0,0,0,0,20,270,0.9461143313777407,0.9875335920593923,20.905180008646862
26,806.8085184697162,32.08305514364213,838.8915736133583,1,0,0,1,0,0,4,0,6,0,0,0,0,20,250,0.9004398227374097,1.092659004054942,36.05643192216077
27,838.8915736133583,32.58947050782308,871.4810441211814,0,0,0,1,1,0,4,0,6,0,0,0,0,20,250,1.1559079472292169,0.8830366122868353,14.05077745446409
28,871.4810441211814,36.05960530026084,907.5406494214423,0,0,0,0,0,0,2,4,6,0,0,0,0,0,260,1.12887751863911,0.8240814642976847,34.64241458833989
29,907.5406494214423,34.35666483976138,941.8973142612036,0,0,0,0,0,0,5,1,6,0,0,0,0,0,250,0.9323388337051787,0.9135599771383518,34.46432731094852
30,941.8973142612036,31.89476246367292,973.7920767248766,1,0,0,0,0,0,4,1,6,0,0,0,0,20,280,1.135629854115441,0.9559304866433218,22.64873766473537
31,973.7920767248766,33.815329604048316,1007.6074063289249,0,0,0,1,0,0,4,1,6,0,0,0,0,0,280,0.9420477944623717,0.809971854876653,16.47465620330453
32,1007.6074063289249,33.555354041402666,1041.1627603703275,2,0,0,2,1,0,0,1,6,0,0,0,0,50,270,0.879540671464838,0.88625559019508,26.975041515341253
33,1041.1627603703275,31.90189862678858,1073.064658997116,2,0,0,0,0,0,4,0,6,0,0,0,0,20,270,0.900584008785698,0.9340834733232375,20.426921910409558
34,1073.064658997116,31.0,1104.064658997116,1,0,0,0,0,0,2,3,6,0,0,0,0,20,250,1.1859370305739971,1.0631107920311171,25.12974386440809
35,1104.064658997116,36.506719225913685,1140.5713782230298,0,0,0,1,1,0,3,1,6,0,0,0,0,0,260,1.171864517859045,0.8078301285868309,35.14910393230852
36,1140.5713782230298,31.0,1171.5713782230298,0,0,0,0,0,0,6,0,6,0,0,0,0,0,270,1.1155957872531872,1.1246367844059255,15.903053470801735
37,1171.5713782230298,31.0,1202.5713782230298,0,0,0,0,1,0,2,3,6,0,0,0,0,20,260,0.8343012573144866,1.0969292292648105,24.529572249431872
38,1202.5713782230298,31.107350396976926,1233.6787286200067,1,0,0,2,0,0,2,1,6,0,0,0,0,20,270,1.0548195445679298,1.1175000831750843,31.307975054606242
39,1233.6787286200067,32.95041700742945,1266.6291456274362,1,0,0,0,0,0,5,0,6,0,0,0,0,20,270,0.852846338330368,0.8601893401186035,18.376484959471334
40,1266.6291456274362,33.99959812418024,1300.6287437516164,0,0,0,3,0,0,3,0,6,0,0,0,0,0,280,0.984515394650134,0.9301496197280003,33.99002730493536
41,1300.6287437516164,31.497208270153124,1332.1259520217695,2,0,0,0,0,0,3,1,6,0,0,0,0,50,250,0.8282617377705516,1.079219908679256,31.02698856594711
42,1332.1259520217695,31.82416026953888,1363.9501122913084,1,1,0,2,0,0,2,0,6,0,0,0,0,0,280,0.9633359669139859,0.9357337827805775,16.66276652658457
43,1363.9501122913084,31.615418991690603,1395.565531282999,1,0,0,0,0,0,5,0,6,0,0,0,0,50,250,0.9225463718381833,0.9856430080723544,23.492754234024375
44,1395.565531282999,33.696953450284354,1429.2624847332834,2,0,0,0,1,0,3,0,6,0,0,0,0,20,270,1.0340141895898598,0.8290091211773523,21.509437339841405
45,1429.2624847332834,31.0,1460.2624847332834,0,0,0,0,0,0,3,2,5,0,0,0,0,50,260,1.1610096538361803,1.1730030391053212,31.916282709536887
46,1460.2624847332834,31.57309096013364,1491.835575693417,3,0,0,1,0,0,0,2,6,0,0,0,0,50,260,0.9512417845514252,0.9699667582612255,21.60289119770102
47,1491.835575693417,36.78949033994763,1528.6250660333646,2,0,0,3,0,0,1,0,6,0,0,0,0,20,250,0.9369775550633914,0.8378413741380403,39.48886719206514
48,1528.6250660333646,33.87555580254275,1562.5006218359074,1,0,0,3,0,0,1,1,6,0,0,0,0,50,250,1.0718213698547783,0.9522399203514403,35.284737610008094
49,1562.5006218359074,31.0,1593.5006218359074,1,0,0,1,0,0,4,0,6,0,0,0,0,20,280,1.1479689648129199,1.0421748812904428,20.42476179384247
50,1593.5006218359074,36.43451975555581,1629.9351415914632,0,0,0,1,0,0,1,4,6,0,0,0,0,0,260,0.9362016305737648,0.848046429730555,38.838208083667354
51,1629.9351415914632,31.0,1660.9351415914632,1,0,0,2,0,0,3,0,6,0,0,0,0,20,280,0.8543338682960159,1.0781531707336254,13.924600477879029
