color,medidor,repeticion,diametro_mm
gris,Maria,1,891
gris,Maria,2,896
gris,Maria,3,896
gris,Maria,4,889
rojo,Maria,1,703
rojo,Maria,2,698
rojo,Maria,3,700
rojo,Maria,4,698
azulc,Maria,1,884
azulc,Maria,2,873
azulc,Maria,3,872
azulc,Maria,4,866
azulo,Maria,1,747
azulo,Maria,2,748
azulo,Maria,3,747
azulo,Maria,4,747
amarillo,Maria,1,842
amarillo,Maria,2,833
amarillo,Maria,3,834
amarillo,Maria,4,833
oro,Maria,1,864
oro,Maria,2,863
oro,Maria,3,863
oro,Maria,4,862
carne,Maria,1,685
carne,Maria,2,686
carne,Maria,3,686
carne,Maria,4,687
rosa,Maria,1,784
rosa,Maria,2,783
rosa,Maria,3,782
rosa,Maria,4,779
oro,Rebeca,1,875
oro,Rebeca,2,877
oro,Rebeca,3,873
oro,Rebeca,4,867
azulc,Rebeca,1,897
azulc,Rebeca,2,874
azulc,Rebeca,3,873
azulc,Rebeca,4,875
rojo,Rebeca,1,714
rojo,Rebeca,2,696
rojo,Rebeca,3,706
rojo,Rebeca,4,696
gris,Rebeca,1,899
gris,Rebeca,2,896
gris,Rebeca,3,888
gris,Rebeca,4,896
amarillo,Rebeca,1,857
amarillo,Rebeca,2,857
amarillo,Rebeca,3,840
amarillo,Rebeca,4,834
azulo,Rebeca,1,754
azulo,Rebeca,2,759
azulo,Rebeca,3,753
azulo,Rebeca,4,760
rosa,Rebeca,1,786
rosa,Rebeca,2,780
rosa,Rebeca,3,788
rosa,Rebeca,4,778
carne,Rebeca,1,687
carne,Rebeca,2,690
carne,Rebeca,3,697
carne,Rebeca,4,689
azulo,Alejandro,1,750
oro,Alejandro,1,861
amarillo,Alejandro,1,826
rojo,Alejandro,1,689
amarillo,Alejandro,2,830
carne,Alejandro,1,682
oro,Alejandro,2,858
azulo,Alejandro,2,746
gris,Alejandro,1,890
amarillo,Alejandro,3,826
rosa,Alejandro,1,777
rojo,Alejandro,2,691
